Date,Speed ,Direction ,Energy 
1/5/2019 1:00,"3,39",18,"7,66"
1/5/2019 2:00,"3,17",6,"0,00"
1/5/2019 3:00,"2,51",24,"0,00"
1/5/2019 4:00,"2,84",1,"0,00"
1/5/2019 5:00,"3,23",3,"12,32"
1/5/2019 6:00,"4,78",9,"62,27"
1/5/2019 7:00,"4,54",0,"47,54"
1/5/2019 8:00,"6,47",7,"747,90"
1/5/2019 9:00,"5,37",14,"673,47"
1/5/2019 10:00,"5,13",27,"1.314,75"
1/5/2019 11:00,"5,18",24,"1.190,14"
1/5/2019 12:00,"5,41",9,"489,64"
1/5/2019 13:00,"6,23",11,"1.277,72"
1/5/2019 14:00,"5,96",13,"1.303,11"
1/5/2019 15:00,"6,82",8,"1.708,42"
1/5/2019 16:00,"6,82",10,"1.689,71"
1/5/2019 17:00,"6,63",12,"1.808,72"
1/5/2019 18:00,"6,64",15,"2.297,18"
1/5/2019 19:00,"5,65",19,"2.020,23"
1/5/2019 20:00,"5,53",25,"2.468,64"
1/5/2019 21:00,"6,12",34,"2.928,16"
1/5/2019 22:00,"5,82",35,"2.672,03"
1/5/2019 23:00,"6,63",38,"3.260,00"
2/5/2019 0:00,"7,35",35,"4.966,01"
2/5/2019 1:00,"7,31",37,"4.451,95"
2/5/2019 2:00,"6,85",36,"4.258,34"
2/5/2019 3:00,"7,32",37,"4.597,83"
2/5/2019 4:00,"6,73",37,"4.071,97"
2/5/2019 5:00,"7,24",43,"5.528,32"
2/5/2019 6:00,"7,33",46,"5.253,18"
2/5/2019 7:00,"7,28",41,"5.061,40"
2/5/2019 8:00,"7,84",43,"4.812,76"
2/5/2019 9:00,"7,28",51,"5.114,12"
2/5/2019 10:00,"8,12",60,"7.659,27"
2/5/2019 11:00,"7,64",59,"7.488,08"
2/5/2019 12:00,"7,93",53,"7.293,64"
2/5/2019 13:00,"8,08",65,"6.545,34"
2/5/2019 14:00,"7,04",52,"5.550,94"
2/5/2019 15:00,"8,40",42,"6.390,89"
2/5/2019 16:00,"7,43",47,"5.799,56"
2/5/2019 17:00,"7,92",44,"7.048,90"
2/5/2019 18:00,"7,03",52,"6.031,24"
2/5/2019 19:00,"7,34",53,"5.873,69"
2/5/2019 20:00,"7,86",50,"5.218,72"
2/5/2019 21:00,"6,92",65,"5.934,75"
2/5/2019 22:00,"5,92",66,"4.572,49"
2/5/2019 23:00,"5,50",69,"2.079,92"
3/5/2019 0:00,"5,07",68,"1.863,91"
3/5/2019 1:00,"4,69",66,"1.607,85"
3/5/2019 2:00,"5,16",61,"2.334,14"
3/5/2019 3:00,"3,79",70,"1.164,83"
3/5/2019 4:00,"5,84",45,"2.374,49"
3/5/2019 5:00,"4,49",67,"3.000,10"
3/5/2019 6:00,"3,66",65,"1.441,84"
3/5/2019 7:00,"4,18",55,"1.476,50"
3/5/2019 8:00,"5,29",54,"2.293,09"
3/5/2019 9:00,"5,60",58,"2.780,29"
3/5/2019 10:00,"5,48",64,"2.028,55"
3/5/2019 11:00,"5,50",49,"2.217,01"
3/5/2019 12:00,"5,64",52,"2.152,07"
3/5/2019 13:00,"5,64",48,"2.062,03"
3/5/2019 14:00,"5,26",42,"1.434,26"
3/5/2019 15:00,"4,90",51,"1.281,64"
3/5/2019 16:00,"5,10",21,"859,47"
3/5/2019 17:00,"5,06",40,"1.544,75"
3/5/2019 18:00,"4,92",45,"1.355,93"
3/5/2019 19:00,"4,85",43,"1.021,18"
3/5/2019 20:00,"4,58",33,"1.433,44"
3/5/2019 21:00,"5,47",32,"2.363,04"
3/5/2019 22:00,"4,53",49,"1.444,94"
3/5/2019 23:00,"4,27",66,"1.807,44"
4/5/2019 0:00,"4,90",89,"664,89"
4/5/2019 1:00,"5,98",93,"1.743,57"
4/5/2019 2:00,"5,02",87,"1.246,43"
4/5/2019 3:00,"5,86",88,"1.164,58"
4/5/2019 4:00,"5,89",82,"2.365,67"
4/5/2019 5:00,"5,04",89,"453,32"
4/5/2019 6:00,"5,11",87,"1.896,60"
4/5/2019 7:00,"4,84",82,"1.172,50"
4/5/2019 8:00,"3,09",65,"57,05"
4/5/2019 9:00,"3,17",67,"0,05"
4/5/2019 10:00,"3,10",76,"8,53"
4/5/2019 11:00,"4,11",72,"25,05"
4/5/2019 12:00,"4,26",96,"21,32"
4/5/2019 13:00,"3,72",75,"24,49"
4/5/2019 14:00,"4,22",55,"638,79"
4/5/2019 15:00,"5,46",37,"2.162,26"
4/5/2019 16:00,"6,02",34,"3.115,37"
4/5/2019 17:00,"5,91",41,"3.403,21"
4/5/2019 18:00,"6,44",40,"3.513,18"
